"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"934",2283,"ed4","Edinburgh Roseburn","no2",2006-05-01,2011-08-15,"roadside",55.945833,-3.235278,"measurement","scotarc"
"944",2697,"ed8","Edinburgh Salamander St","no2",2009-09-17,NA,"roadside",55.974594,-3.161455,"measurement","scotarc"
"946",2701,"ed8","Edinburgh Salamander St","pm10",2009-09-17,NA,"roadside",55.974594,-3.161455,"measurement","scotarc"
"954",2462,"ed1","Edinburgh St John's Road","no2",2007-01-01,NA,"kerbside",55.9425,-3.281111,"measurement","scotarc"
"962",2053,"ed3","Edinburgh St Leonards","no2",2003-11-24,NA,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"966",2054,"ed3","Edinburgh St Leonards","o3",2003-11-24,NA,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"968",2051,"ed3","Edinburgh St Leonards","co",2003-11-24,NA,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"969",2541,"ed3","Edinburgh St Leonards","pm25",2008-10-01,NA,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"973",2059,"ed3","Edinburgh St Leonards","pm10",2003-12-01,2007-07-09,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"1094",702,"5002","Eskdalemuir","no2",1993-01-31,1995-01-02,"rural",NA,NA,"md_measurement","scotarc"
"1131",2063,"esk","Eskdalemuir","no2",2004-12-09,NA,"rural",55.31531,-3.206111,"measurement","scotarc"
"1139",2062,"esk","Eskdalemuir","o3",1986-04-23,NA,"rural",55.31531,-3.206111,"measurement","scotarc"
"1144",1753,"82190","FALKIRK 13N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1145",1754,"82191","FALKIRK 14N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1146",1689,"81928","FALKIRK 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1147",1690,"81929","FALKIRK 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1148",1691,"81930","FALKIRK 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1151",1692,"81931","FALKIRK 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1154",1901,"84199","Falkirk 5N","no2",1990-04-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1159",1914,"84733","FALKIRK 7N","no2",1992-12-29,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1162",1915,"84734","FALKIRK 8N","no2",1992-12-29,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1166",3247,"fal7","Falkirk Banknock","pm25",2015-01-28,NA,NA,55.988456,-3.969288,"measurement","scotarc"
"1167",3170,"fal7","Falkirk Banknock","pm10",2013-01-01,NA,"roadside",55.988456,-3.969288,"measurement","scotarc"
"1170",2364,"falk","Falkirk Grangemouth MC","no2",2007-07-01,NA,"urban_background",56.018951,-3.721013,"measurement","scotarc"
"1171",2368,"falk","Falkirk Grangemouth MC","pm10",2007-07-01,NA,"urban_background",56.018951,-3.721013,"measurement","scotarc"
"1180",3168,"fal5","Falkirk Haggs","pm10",2013-01-01,NA,NA,55.991087,-3.941685,"measurement","scotarc"
"1183",2587,"fal5","Falkirk Haggs","no2",2009-01-01,NA,"roadside",55.991087,-3.941685,"measurement","scotarc"
"1192",2376,"fal3","Falkirk Hope St","no2",2007-07-01,NA,"roadside",56.001956,-3.786485,"measurement","scotarc"
"1194",2380,"fal3","Falkirk Hope St","pm10",2007-07-01,NA,"roadside",56.001956,-3.786485,"measurement","scotarc"
"1198",2374,"fal2","Falkirk Park St","pm10",2007-07-01,2014-04-28,"roadside",56.000657,-3.7831,"measurement","scotarc"
"1208",2370,"fal2","Falkirk Park St","no2",2007-07-01,2014-04-28,"roadside",56.000657,-3.7831,"measurement","scotarc"
"1212",2729,"fal6","Falkirk West Bridge Street","pm10",2009-09-16,NA,"roadside",56.000507,-3.790128,"measurement","scotarc"
"1214",2608,"fal6","Falkirk West Bridge Street","no2",2007-11-07,NA,"roadside",56.000507,-3.790128,"measurement","scotarc"
"1225",2288,"cupa","Fife Cupar","no2",2005-12-19,NA,"roadside",56.319444,-3.014167,"measurement","scotarc"
"1227",2285,"cupa","Fife Cupar","pm10",2005-12-19,2009-06-24,"roadside",56.319444,-3.014167,"measurement","scotarc"
"1232",3309,"dunf","Fife Dunfermline","pm10",2016-09-05,NA,"roadside",56.07383,-3.44862,"measurement","scotarc"
"1234",3306,"dunf","Fife Dunfermline","pm25",2016-09-05,NA,"roadside",56.07383,-3.44862,"measurement","scotarc"
"1243",2360,"dunf","Fife Dunfermline","no2",2007-08-01,NA,"roadside",56.07383,-3.44862,"measurement","scotarc"
"1246",2327,"kinc","Fife Kincardine","no2",2006-01-01,2007-05-11,"roadside",56.068611,-3.716944,"measurement","scotarc"
"1251",3292,"kir","Fife Kirkcaldy","pm25",2016-04-06,NA,NA,56.124331,-3.141347,"measurement","scotarc"
"1254",2776,"kir","Fife Kirkcaldy","no2",2011-02-08,NA,"roadside",56.124331,-3.141347,"measurement","scotarc"
"1260",3291,"kir","Fife Kirkcaldy","pm10",2016-04-06,NA,NA,56.124331,-3.141347,"measurement","scotarc"
"1264",3279,"rosy","Fife Rosyth","pm25",2015-07-20,NA,NA,56.036243,-3.417582,"measurement","scotarc"
"1265",2475,"rosy","Fife Rosyth","no2",2008-03-13,NA,"roadside",56.036243,-3.417582,"measurement","scotarc"
"1272",2477,"rosy","Fife Rosyth","pm10",2015-07-20,NA,"roadside",56.036243,-3.417582,"measurement","scotarc"
"1312",2280,"fw","Fort William","o3",2006-06-22,NA,"suburban",56.82266,-5.101102,"measurement","scotarc"
"1313",2277,"fw","Fort William","no2",2006-06-22,NA,"suburban",56.82266,-5.101102,"measurement","scotarc"
"1321",1741,"82123","GALASHIELS 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1322",1742,"82124","GALASHIELS 2N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1326",1738,"82093","GIFFNOCK 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1327",1666,"81838","GIFFNOCK 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1328",1833,"83590","GIFFNOCK 3N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"1403",1918,"84844","Glasgow 10N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1404",1919,"84845","Glasgow 11N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1405",1920,"84846","Glasgow 12N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1406",1921,"84847","Glasgow 13N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1407",1922,"84848","Glasgow 14N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1408",1923,"84849","Glasgow 15N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1409",1924,"84850","Glasgow 16N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1410",1925,"84851","Glasgow 17N","no2",2006-01-09,NA,"urban_centre",NA,NA,"md_measurement","scotarc"
"1411",1926,"84852","Glasgow 18N","no2",2006-01-09,NA,"urban_centre",NA,NA,"md_measurement","scotarc"
"1412",1927,"84853","Glasgow 19N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1413",1645,"81790","GLASGOW 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1416",1928,"84854","Glasgow 20N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1417",1929,"84855","Glasgow 21N","no2",2006-01-09,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1418",1930,"84856","Glasgow 22N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1419",1931,"84857","Glasgow 23N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1420",1932,"84858","Glasgow 24N","no2",2006-01-09,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1421",1933,"84859","Glasgow 25N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1422",1934,"84860","Glasgow 26N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1423",1935,"84861","Glasgow 27N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1424",1936,"84862","Glasgow 28N","no2",2006-01-09,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1425",1937,"84863","Glasgow 29N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1426",1646,"81791","GLASGOW 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1427",1938,"84864","Glasgow 30N","no2",2006-01-09,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1430",1939,"84865","Glasgow 31N","no2",2006-01-09,NA,"urban",NA,NA,"md_measurement","scotarc"
"1431",1940,"84866","Glasgow 32N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1432",1941,"84867","Glasgow 33N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1433",1942,"84868","Glasgow 34N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1434",1943,"84869","Glasgow 35N","no2",2006-01-06,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1435",1944,"84870","Glasgow 36N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1436",1945,"84871","Glasgow 37N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1437",1946,"84872","Glasgow 38N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1438",1947,"84873","Glasgow 39N","no2",2006-01-04,NA,"suburban",NA,NA,"md_measurement","scotarc"
"1439",1647,"81792","GLASGOW 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1440",1948,"84874","Glasgow 40N","no2",2006-01-04,NA,"suburban",NA,NA,"md_measurement","scotarc"
"1441",1949,"84875","Glasgow 41N","no2",2006-01-09,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1444",1950,"84876","Glasgow 42N","no2",2006-01-06,NA,"suburban",NA,NA,"md_measurement","scotarc"
"1445",1951,"84877","Glasgow 43N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1448",1952,"84878","Glasgow 44N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1449",1953,"84880","Glasgow 45N","no2",NA,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1450",1954,"84881","Glasgow 46N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1453",1955,"84882","Glasgow 47N","no2",2006-01-05,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1454",1956,"84883","Glasgow 48N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1455",1957,"84884","Glasgow 49N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1456",1648,"81793","GLASGOW 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1459",1958,"84885","Glasgow 50N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1462",1959,"84886","Glasgow 51N","no2",2006-01-05,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1465",1960,"84887","Glasgow 52N","no2",2006-01-05,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1466",1961,"84888","Glasgow 53N","no2",2006-01-05,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1467",1962,"84889","Glasgow 54N","no2",2006-01-05,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1468",1963,"84890","Glasgow 55N","no2",2006-01-05,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1469",1964,"84891","Glasgow 56N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1470",1965,"84892","Glasgow 57N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1473",1966,"84893","Glasgow 58N","no2",2006-01-05,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1476",1967,"84894","Glasgow 59N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1477",1755,"82193","GLASGOW 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1480",1968,"84895","Glasgow 60N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1483",1969,"84896","Glasgow 61N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1486",1970,"84897","Glasgow 62N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1489",1971,"84898","Glasgow 63N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1492",1972,"84899","Glasgow 64N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1495",1973,"84900","Glasgow 65N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1498",1974,"84901","Glasgow 66N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1501",1975,"84902","Glasgow 67N","no2",2006-01-09,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1504",1976,"84903","Glasgow 68N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1507",1977,"84904","Glasgow 69N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1508",1848,"83643","GLASGOW 6N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"1511",1978,"84905","Glasgow 70N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1512",1979,"84906","Glasgow 71N","no2",2006-01-05,NA,"suburban",NA,NA,"md_measurement","scotarc"
"1515",1980,"84907","Glasgow 72N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1518",1981,"84908","Glasgow 73N","no2",2006-01-04,NA,"urban",NA,NA,"md_measurement","scotarc"
"1521",1982,"84909","Glasgow 74N","no2",2006-01-06,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1522",1983,"84910","Glasgow 75N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1523",1984,"84911","Glasgow 76N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1524",1985,"84912","Glasgow 77N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1525",1986,"84913","Glasgow 78N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1528",1913,"84732","Glasgow 7N","no2",2006-01-04,NA,"urban",NA,NA,"md_measurement","scotarc"
"1535",1916,"84842","Glasgow 8N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1552",1917,"84843","Glasgow 9N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1562",2219,"gla5","Glasgow Anderston","co",2005-01-01,2014-12-31,"urban_background",55.861667,-4.271389,"measurement","scotarc"
"1570",2224,"gla5","Glasgow Anderston","pm10",2005-01-01,2011-03-14,"urban_background",55.861667,-4.271389,"measurement","scotarc"
"1573",2221,"gla5","Glasgow Anderston","no2",2005-01-01,NA,"urban_background",55.861667,-4.271389,"measurement","scotarc"
"1576",2229,"gla8","Glasgow Battlefield Road","pm10",2005-06-02,2012-02-20,"roadside",55.824852,-4.261541,"measurement","scotarc"
"1577",2226,"gla8","Glasgow Battlefield Road","no2",2005-06-02,2012-02-20,"roadside",55.824852,-4.261541,"measurement","scotarc"
"1596",2811,"gl6","Glasgow Burgher St.","no2",2011-07-28,NA,NA,55.851071,-4.19714,"measurement","scotarc"
"1600",2215,"gla6","Glasgow Byres Road","pm10",2005-01-01,2011-06-24,"roadside",55.874167,-4.294722,"measurement","scotarc"
"1602",2212,"gla6","Glasgow Byres Road","no2",2005-01-01,NA,"roadside",55.874167,-4.294722,"measurement","scotarc"
"1609",2210,"gla6","Glasgow Byres Road","co",2005-01-01,2013-08-22,"roadside",55.874167,-4.294722,"measurement","scotarc"
"1612",2115,"gla3","Glasgow Centre","o3",1996-07-26,2012-08-16,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1615",2119,"gla3","Glasgow Centre","pm10",1996-07-26,2008-12-02,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1616",2112,"gla3","Glasgow Centre","co",1996-07-26,2012-08-16,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1617",2568,"gla3","Glasgow Centre","pm25",2008-12-02,2012-08-16,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1627",2114,"gla3","Glasgow Centre","no2",1996-07-26,2012-08-16,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1631",2067,"gla","Glasgow City Chambers","no2",1987-01-06,2011-03-16,"urban_background",55.860414,-4.245959,"measurement","scotarc"
"1633",2065,"gla","Glasgow City Chambers","co",1989-07-28,2007-09-30,"urban_background",55.860414,-4.245959,"measurement","scotarc"
"1639",2844,"gl9","Glasgow Dumbarton Road","pm10",2012-05-01,NA,"roadside",55.870766,-4.318448,"measurement","scotarc"
"1642",2838,"gl9","Glasgow Dumbarton Road","no2",2012-05-01,NA,"roadside",55.870766,-4.318448,"measurement","scotarc"
"1647",3222,"ggwr","Glasgow Great Western Road","no2",2014-06-05,NA,NA,55.872038,-4.270936,"measurement","scotarc"
"1653",3238,"ghsr","Glasgow High Street","no2",2015-01-27,NA,"roadside",55.860936,-4.238214,"measurement","scotarc"
"1659",3243,"ghsr","Glasgow High Street","pm25",2015-01-27,NA,"roadside",55.860936,-4.238214,"measurement","scotarc"
"1660",3240,"ghsr","Glasgow High Street","pm10",2015-01-27,NA,"roadside",55.860936,-4.238214,"measurement","scotarc"
"1664",2134,"glas","Glasgow Hope St","no2",1979-08-28,1982-10-21,"kerbside",55.858333,-4.257778,"measurement","scotarc"
"1666",2132,"glas","Glasgow Hope St","co",1973-06-27,1982-10-28,"kerbside",55.858333,-4.257778,"measurement","scotarc"
"1670",2122,"gla4","Glasgow Kerbside","no2",1997-03-10,NA,"kerbside",55.85917,-4.258889,"measurement","scotarc"
"1677",2679,"gla4","Glasgow Kerbside","pm25",2009-05-28,2014-12-31,"kerbside",55.85917,-4.258889,"measurement","scotarc"
"1678",2120,"gla4","Glasgow Kerbside","co",1997-03-10,2007-09-30,"kerbside",55.85917,-4.258889,"measurement","scotarc"
"1679",2131,"gla4","Glasgow Kerbside","pm10",1997-03-10,2009-05-28,"kerbside",55.85917,-4.258889,"measurement","scotarc"
"1697",3193,"glkp","Glasgow Townhead","o3",2013-10-07,NA,NA,55.865782,-4.243631,"measurement","scotarc"
"1699",3197,"glkp","Glasgow Townhead","pm25",2013-10-07,NA,NA,55.865782,-4.243631,"measurement","scotarc"
"1704",3191,"glkp","Glasgow Townhead","no2",2013-10-07,NA,NA,55.865782,-4.243631,"measurement","scotarc"
"1714",2234,"gla7","Glasgow Waulkmillglen Reservoir","pm10",2005-01-01,NA,"rural",55.79412,-4.354968,"measurement","scotarc"
"1715",2231,"gla7","Glasgow Waulkmillglen Reservoir","no2",2005-01-01,NA,"rural",55.79412,-4.354968,"measurement","scotarc"
"1717",2235,"gla7","Glasgow Waulkmillglen Reservoir","o3",2005-01-01,NA,"rural",55.79412,-4.354968,"measurement","scotarc"
"1771",872,"5011","Glen Dye","no2",1993-02-01,1995-01-02,"rural",NA,NA,"md_measurement","scotarc"
"1791",1764,"82291","GOLSPIE 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1792",1766,"82293","GOLSPIE 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1819",2137,"gran","Grangemouth","co",2003-01-17,2007-09-30,"urban_industrial",56.010319,-3.704399,"measurement","scotarc"
"1821",2565,"gran","Grangemouth","pm25",2008-12-03,NA,"urban_industrial",56.010319,-3.704399,"measurement","scotarc"
"1822",2145,"gran","Grangemouth","pm10",2001-01-01,2009-04-16,"urban_industrial",56.010319,-3.704399,"measurement","scotarc"
"1828",2139,"gran","Grangemouth","no2",2001-01-01,NA,"urban_industrial",56.010319,-3.704399,"measurement","scotarc"
"1849",2683,"gra2","Grangemouth Moray","no2",2009-06-01,NA,"urban_background",56.013142,-3.710833,"measurement","scotarc"
"1852",2687,"gra2","Grangemouth Moray","pm10",2007-01-01,2011-10-04,"urban_background",56.013142,-3.710833,"measurement","scotarc"
"1856",1747,"82165","GREENOCK 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1859",1748,"82166","GREENOCK 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1862",1749,"82167","GREENOCK 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1865",1750,"82168","GREENOCK 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1866",1761,"82253","GREENOCK 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1867",1777,"82462","GREENOCK 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1868",1834,"83591","GREENOCK 7N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"1877",1712,"81961","HADDINGTON 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1878",1716,"82007","HADDINGTON 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1881",1693,"81932","HAMILTON 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1884",1694,"81933","HAMILTON 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1891",1720,"82034","HAMILTON 5N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1892",1721,"82035","HAMILTON 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1893",1722,"82036","HAMILTON 7N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1894",1884,"84168","Harthill 1N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1895",1890,"84174","Harthill 2N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1902",1818,"82882","HAWICK 1N","no2",2000-01-04,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1903",1819,"82883","HAWICK 2N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1904",1820,"82884","HAWICK 3N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1905",1821,"82885","HAWICK 4N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1906",1822,"82886","HAWICK 5N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1907",1846,"83617","HAWICK 6N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1939",3206,"inc2","Inverclyde Greenock A8","no2",2014-03-18,NA,"roadside",55.944079,-4.734421,"measurement","scotarc"
"1941",3295,"inc2","Inverclyde Greenock A8","pm25",2016-03-23,NA,NA,55.944079,-4.734421,"measurement","scotarc"
"1949",3209,"inc2","Inverclyde Greenock A8","pm10",2014-03-18,NA,"roadside",55.944079,-4.734421,"measurement","scotarc"
"1953",2758,"inc1","Inverclyde Greenock Dunlop Street","no2",2010-04-09,2013-12-07,"roadside",55.94122,-4.784771,"measurement","scotarc"
"1954",2773,"inc1","Inverclyde Greenock Dunlop Street","pm10",2010-04-09,2013-12-07,"roadside",55.94122,-4.784771,"measurement","scotarc"
"1983",2356,"inv2","Inverness","pm10",2007-05-01,2007-12-02,"roadside",57.481308,-4.241451,"measurement","scotarc"
"1985",2148,"inv2","Inverness","no2",2001-07-17,NA,"roadside",57.481308,-4.241451,"measurement","scotarc"
"1992",2146,"inv2","Inverness","co",2001-07-17,2007-09-30,"roadside",57.481308,-4.241451,"measurement","scotarc"
"1997",1902,"84223","INVERURIE 1N","no2",1994-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1998",1903,"84224","INVERURIE 2N","no2",2002-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1999",1904,"84225","INVERURIE 3N","no2",1994-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
